username,tweet
 @mayasolovely, Fuck Red Malone man bitch ass niggah could you please use complete sentences?
 @mleew17, Why the eggplant emoji doe?y he say she looked like scream lmao
 @UrKindOfBrand Dawg!!!! R, Hennessey Venom GT &#128584; http
 @C_G_Anderson, Him seh me pussy wetter then a shower curtain....#ahmesehwetness&lt;lmao!!
 @ShenikaRoberts, #Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit
_Madison_x," Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life http"
@__BrighterDays, baby monkey bathtime http
@selfiequeenbri, cause I'm tired of you big bitches coming for us skinny girls!!&#8221;
@ARIZZLEINDACUT, I probably wouldn&#8217;t mind school as much if we didn&#8217;t have to deal with bitch ass teachers. Retweet
@Addicted2Guys, I'm a fucking fag they said
@AdoreBellaaa, Females think dating a pussy is cute now? http
@AdoreZoey, -SimplyAddictedToGuys http
@AllAboutManFeet, Have ya ever asked your bitch for other bitches - kanye voice Yes
@Allyhaaaaa, How u gone bring ur side bitch to a game where You know Ya gf friends at ?! &#128553;&#128553;&#128553;&#128553; I SWEAR!!!!!
@Almightywayne__, http
@Almightywayne__, Lemmie eat a Oreo &amp; do these dishes. One oreo? Lol
@ArizonasFinest6, @JetsAndASwisher @Gook____ bitch fuck u http
@AutoWorId, Fuck Red Malone man bitch ass niggah could you please use complete sentences?
@BOSSBYTCHH, Why the eggplant emoji doe?y he say she looked like scream lmao
@BRO_HEN314, Hennessey Venom GT &#128584; http
@BVSEDCHINK, Him seh me pussy wetter then a shower curtain....#ahmesehwetness&lt;lmao!!
@BabyAnimalPics, #Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit
@BaylaaGottaBody," Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life http"
@BeEasyJrizzy, baby monkey bathtime http
@BeenBasedB, &#128514;&#128514;&#128514;&#128514; I ain't shit . Damn Skippy lol
@BeenFLYnSolo, u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussyNo bs must b &gt;30%chance
@BestProAdvice, @_KudaBrazyy http
@Bill215_," ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !"
@BitchJones92, The facts on tattoos...tattoo http
@BlackChiquitita, &#128175;&#128175;&#128175; RT @nel_ayden Bitches be wanting to act like niggas so bad &#128553;&#128553;&#128553; that shit aint cuteeeee but niggas act like bitches..
@BlackNerdJade, Get worshiping bitch! http
@Blackman38Tide, Wow. RT @thatmanpalmer I'm lost. Are those buttcheek piercings? http
@BrokenPiecesmsc," Ok, sis. She'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her"
@BrosConfessions, @WhaleLookyHere @HowdyDowdy11 queer gaywad
@CASHandBOOBIES, @ItsNotAdam faggot read my tweets after dat k it wasn't even funny lol
@CB_Baby24, This bitch was so ungrateful http
@CCobey, I been kidnapped yo bitch
@CHlLDHOODRUINER, @white_thunduh alsarabsss hes a beaner smh you can tell hes a mexican
@CaelanG15, @AydanMcCoy happy birthday nigs Thanks yo
@CanIFuckOrNah, when ur teacher tells u that u have homework https
@CarelessOne92, @22EdHam
@CauseWereGuys, What would y'all lil ugly bald headed bitches do if they stop making make-up &amp; weave?
@CauseWereGuys, Leafs better win this damn game so I can go riot and shit #EarlyChristmas you better start looting my nig
@CeleyNichole, Going back to school sucks more dick than the hoes who attend it.
@ChadMFVerbeck, On my way to fuck yo bitch http
@ChandlerParsons, @white_thunduh how come you never bring me food i dont have a car retard
@ClicquotSuave, If Richnow doesn't show up with hella tinder hoes Im not his friend anymore chill I brought like like 8 prople
@Coley_Cee, How bout them Cowboys!!!! Shutup pussy
@Coley_Cee, LMAOOOOOOOOOOO this nigga @Krillz_Nuh_Care http
